Name,Code,Region,Industry,is_alive,expiry_date
"Ping An Bank Co., Ltd.",000001,South China,Financial,1,
"CHINA VANKE CO., LTD.",000002,South China,Estate,1,
"Shenzhen GuoHua Network Security Technology Co., Ltd.",000004,South China,Information Technology,1,
SHENZHEN FOUNTAIN CORPORATION,000005,South China,Environment Protection,1,
"SHENZHEN ZHENYE(GROUP) CO.,LTD.",000006,South China,Estate,1,
"SHENZHEN Quanxinhao CO., LTD.",000007,South China,Estate,1,
"China High-Speed Railway Technology Co., Ltd.",000008,North China,Manufacturing,1,
"CHINA BAOAN GROUP CO., LTD.",000009,South China,Comprehensive,1,
"SHENZHEN ECOBEAUTY CO., LTD.",000010,South China,Construction,1,
ShenZhen Properties & Resources Development (Group) Ltd.,000011,South China,Estate,1,
"CSG HOLDING CO.,LTD.",000012,South China,Manufacturing,1,
"SHAHE INDUSTRIAL CO.,LTD.",000014,South China,Estate,1,
"Shenzhen Sinohao(group)co.,ltd.",000015,South China,Comprehensive,0,2001-10
"KONKA GROUP CO.,LTD",000016,South China,Manufacturing,1,
SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,000017,South China,Manufacturing,1,
"Sino Great Wall Co.,Ltd.",000018,SouthWest China,Comprehensive,0,2020-01
"SHENZHEN CEREALS HOLDINGS CO.,LTD.",000019,South China,Wholesale & Retail,1,
"SHENZHEN ZHONGHENG HUAFA CO., LTD.",000020,South China,Manufacturing,1,
"SHENZHEN KAIFA TECHNOLOGY CO., LTD",000021,South China,Manufacturing,1,
"SHENZHEN UNIVERSE (GROUP)CO.,LTD",000023,South China,Manufacturing,1,
"Shenzhen Tellus Holding Co.,Ltd",000025,South China,Wholesale & Retail,1,
"FIYTA Precision Technology Co., Ltd.",000026,South China,Wholesale & Retail,1,
"Shenzhen Energy Group Co., Ltd.",000027,South China,Utilities,1,
China National Accord Medicines Corporation Ltd.,000028,South China,Wholesale & Retail,1,
"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",000029,South China,Estate,1,
FAWER Automotive Parts Limited Company,000030,NorthEast China,Manufacturing,1,
"GRANDJOY HOLDINGS GROUP CO.,LTD.",000031,South China,Estate,1,
"SHENZHEN SED INDUSTRY CO.,LTD",000032,South China,Wholesale & Retail,1,
"Shenzhen Kunpeng Holding Co.,Ltd.",000033,South China,Hotel,0,2017-06
"Digital China Group Co.,Ltd.",000034,South China,Wholesale & Retail,1,
 China Tianying Inc.,000035,East China,Environment Protection,1,
CHINA UNION HOLDINGS LTD.,000036,South China,Estate,1,
"SHENZHEN NANSHAN POWER STATION CO.,LTD",000037,South China,Utilities,1,
"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD.",000038,South China,Business Service,1,
"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",000039,South China,Manufacturing,1,
"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",000040,South China,Utilities,1,
"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",000042,South China,Estate,1,
"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",000045,South China,Manufacturing,1,
"OCEANWIDE HOLDINGS CO., LTD.",000046,North China,Financial,1,
"Shenzhen Overglobe Development CO.,LTD.",000047,South China,Estate,0,2003-05
"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",000048,South China,Manufacturing,1,
"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",000049,South China,Manufacturing,1,
"TIANMA MICROELECTRONICS CO., LTD",000050,South China,Manufacturing,1,
"CHINA FANGDA GROUP CO., LTD",000055,South China,Manufacturing,1,
"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",000056,South China,Business Service,1,
"SHENZHEN SEG CO.,LTD",000058,South China,Business Service,1,
"North Huajin Chemical Industries Co.,Ltd",000059,NorthEast China,Manufacturing,1,
"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",000060,South China,Manufacturing,1,
"SHENZHEN AGRICULTURAL PRODUCTS GROUP CO., LTD",000061,South China,Business Service,1,
"SHENZHEN HUAQIANG INDUSTRY CO., LTD",000062,South China,Wholesale & Retail,1,
ZTE CORPORATION,000063,South China,Manufacturing,1,
NORINCO International Cooperation Ltd.,000065,North China,Construction,1,
"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",000066,South China,Manufacturing,1,
"SHENZHEN HUAKONG SEG CO.,LTD.",000068,South China,Research Service,1,
"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",000069,South China,Estate,1,
"SHENZHEN SDG INFORMATION CO., LTD",000070,South China,Manufacturing,1,
"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD",000078,South China,Wholesale & Retail,1,
"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",000088,South China,Transportation,1,
"SHENZHEN AIRPORT CO.,LTD",000089,South China,Transportation,1,
"SHENZHEN TAGEN GROUP CO., LTD.",000090,South China,Construction,1,
"SHENZHEN GUANGJU ENERGY CO., LTD",000096,South China,Wholesale & Retail,1,
"CITIC OFFSHORE HELICOPTER CO.,LTD",000099,South China,Transportation,1,
TCL Technology Group Corporation,000100,South China,Manufacturing,1,
"YIHUA HEALTHCARE Co., Ltd.",000150,South China,Healthcare,1,
CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED,000151,North China,Wholesale & Retail,1,
"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",000153,East China,Manufacturing,1,
SICHUAN NEW ENERGY POWER COMPANY LIMITED,000155,SouthWest China,Utilities,1,
"Wasu Media Holding Co.,Ltd",000156,East China,Media,1,
"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD",000157,Central China,Manufacturing,1,
SHIJIAZHUANG CHANGSHAN BEIMING TECHNOLOGY CO.?LTD,000158,North China,Information Technology,1,
"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD",000159,NorthWest China,Wholesale & Retail,1,
"Shenwan Hongyuan Group Co.,Ltd",000166,NorthWest China,Financial,1,
"Jiangsu Eastern Shenghong Co.,Ltd.",000301,East China,Manufacturing,1,
"Midea Group Co., Ltd.",000333,South China,Manufacturing,1,
"Weichai Power Co., Ltd.",000338,East China,Manufacturing,1,
"XJ ELECTRIC CO.,LTD",000400,Central China,Manufacturing,1,
"TANGSHAN JIDONG CEMENT CO.,LTD",000401,North China,Manufacturing,1,
"FINANCIAL STREET HOLDINGS CO., LTD.",000402,North China,Estate,1,
"Southern Shuanglin Bio-pharmacy Co., LTD",000403,North China,Manufacturing,1,
"CHANGHONG HUAYI COMPRESSOR CO., LTD.",000404,East China,Manufacturing,1,
